,id,name
0,0,A-Bomb
1,1,Abe Sapien
2,2,Abin Sur
6,6,Adam Monroe
7,7,Adam Strange
9,9,Agent Bob
10,10,Agent Zero
13,13,Alan Scott
15,15,Alex Woolsly
16,16,Alfred Pennyworth
18,18,Allan Quatermain
21,21,Ando Masahashi
22,22,Angel
23,23,Angel
27,27,Animal Man
29,29,Ant-Man
30,30,Ant-Man II
35,35,Aquababy
36,36,Aqualad
37,37,Aquaman
39,39,Archangel
42,42,Ares
45,45,Arsenal
46,46,Astro Boy
47,47,Atlas
49,49,Atom
50,50,Atom
52,52,Atom II
53,53,Atom III
54,54,Atom IV
57,57,Azrael
58,58,Aztar
60,60,Banshee
61,61,Bantam
68,68,Batman
69,69,Batman
70,70,Batman II
71,71,Battlestar
73,73,Beak
74,74,Beast
75,75,Beast Boy
77,77,Ben 10
78,78,Beta Ray Bill
79,79,Beyonder
81,81,Big Daddy
83,83,Bill Harken
90,90,Birdman
91,91,Bishop
95,95,Black Bolt
100,100,Black Goliath
101,101,Black Knight III
102,102,Black Lightning
105,105,Black Panther
111,111,Blade
120,120,Bloodhawk
122,122,Blue Beetle
123,123,Blue Beetle
124,124,Blue Beetle II
125,125,Blue Beetle III
127,127,Bolt
131,131,Booster Gold
132,132,Box
136,136,Brainiac 5
137,137,Brother Voodoo
142,142,Bumbleboy
143,143,Bushido
144,144,Cable
146,146,Cameron Hicks
147,147,Cannonball
148,148,Captain America
149,149,Captain Atom
150,150,Captain Britain
152,152,Captain Epic
153,153,Captain Hindsight
154,154,Captain Mar-vell
156,156,Captain Marvel
157,157,Captain Marvel II
158,158,Captain Midnight
159,159,Captain Planet
166,166,Century
168,168,Chamber
175,175,Chuck Norris
176,176,Citizen Steel
179,179,Cloak
182,182,Colin Wagner
183,183,Colossal Boy
184,184,Colossus
186,186,Corsair
188,188,Crimson Crusader
189,189,Crimson Dynamo
193,193,Cyborg
195,195,Cyclops
198,198,Danny Cooper
200,200,Daredevil
201,201,Darkhawk
202,202,Darkman
208,208,Dash
209,209,Data
211,211,Deadman
214,214,Deathlok
219,219,DL Hawkins
220,220,Doc Samson
223,223,Doctor Fate
225,225,Doctor Strange
227,227,Donatello
232,232,Dr Manhattan
233,233,Drax the Destroyer
239,239,Elongated Man
243,243,ERG-1
244,244,Ethan Hunt
250,250,Falcon
255,255,Fin Fang Foom
259,259,Firestorm
260,260,Firestorm
262,262,Flash
263,263,Flash Gordon
264,264,Flash II
265,265,Flash III
266,266,Flash IV
268,268,Franklin Richards
273,273,Gambit
275,275,Garbage Man
276,276,Gary Bell
278,278,Genesis
279,279,Ghost Rider
281,281,Giant-Man
282,282,Giant-Man II
288,288,Goku
289,289,Goliath
290,290,Goliath
291,291,Goliath
292,292,Goliath IV
295,295,Gravity
297,297,Green Arrow
300,300,Green Goblin III
301,301,Green Goblin IV
302,302,Groot
303,303,Guardian
304,304,Guy Gardner
305,305,Hal Jordan
306,306,Han Solo
307,307,Hancock
309,309,Harry Potter
310,310,Havok
311,311,Hawk
312,312,Hawkeye
315,315,Hawkman
321,321,Hellboy
323,323,Hellstorm
324,324,Hercules
325,325,Hiro Nakamura
330,330,Howard the Duck
331,331,Hulk
332,332,Human Torch
335,335,Hybrid
337,337,Hyperion
338,338,Iceman
339,339,Impulse
340,340,Indiana Jones
342,342,Ink
344,344,Iron Fist
345,345,Iron Man
348,348,Jack Bauer
349,349,Jack of Hearts
350,350,Jack-Jack
