,id,name
87,87,Bird-Brain
112,112,Blaquesmith
133,133,Box III
134,134,Box IV
160,160,Captain Universe
165,165,Cecilia Reyes
178,178,Clea
196,196,Cypher
204,204,Darkside
234,234,Ego
249,249,Fabian Cortez
253,253,Feral
257,257,Firelord
261,261,Fixer
267,267,Forge
269,269,Franklin Storm
280,280,Ghost Rider II
286,286,Godzilla
409,409,Living Brain
410,410,Living Tribunal
422,422,Machine Man
426,426,Man of Miracles
503,503,One-Above-All
509,509,Parademon
511,511,Penance
586,586,Shadow King
623,623,Spider-Man
700,700,Vision II
717,717,Wiz Kid
